index,img_url,prod_url,price,5,4,3,2,1,SUM
11,https://images.meesho.com/images/products/116747083/63fo0_400.webp,https://www.meesho.com/alisha-refined-kurtis/p/1xiamj,₹293,166,64,55,40,80,405
12,https://images.meesho.com/images/products/115432991/zczxs_400.webp,https://www.meesho.com/chitrarekha-attractive-kurtis/p/1wq4nz,₹305,23,9,7,4,7,50
13,https://images.meesho.com/images/products/70099091/bb3nm_400.webp,https://www.meesho.com/jivika-graceful-kurtis/p/15qgsz,₹429,47,22,15,11,21,116
14,https://images.meesho.com/images/products/70794568/fhoum_400.webp,https://www.meesho.com/abhisarika-attractive-kurtis/p/165dfs,₹465,171,75,56,36,88,426
15,https://images.meesho.com/images/products/113231345/hcrbh_400.webp,https://www.meesho.com/myra-graceful-kurtis/p/1vexv5,₹303,31,11,12,6,10,70
16,https://images.meesho.com/images/products/80710539/hntyn_400.webp,https://www.meesho.com/kashvi-drishya-kurtis/p/1c1wnf,₹308,500,181,139,72,108,1000
17,https://images.meesho.com/images/products/42021263/jdfuh_400.webp,https://www.meesho.com/abhisarika-voguish-kurtis/p/p0ntb,₹583,158,72,47,28,66,371
18,https://images.meesho.com/images/products/175026460/myoew_400.webp,https://www.meesho.com/chitrarekha-refined-kurtis/p/2w7fa4,₹429,23,8,6,4,6,47
19,https://images.meesho.com/images/products/146642610/p71gm_400.webp,https://www.meesho.com/trendy-fashionable-kurtis/p/2fb25u,₹468,72,24,12,6,13,127
110,https://images.meesho.com/images/products/118045062/buu2s_400.webp,https://www.meesho.com/alisha-fabulous-kurtis/p/1ya45i,₹445,63,26,19,13,28,149
111,https://images.meesho.com/images/products/108045389/ifww7_400.webp,https://www.meesho.com/aishani-attractive-kurtis/p/1sbsct,₹512,32,11,7,4,7,61
112,https://images.meesho.com/images/products/50834252/v5knc_400.webp,https://www.meesho.com/aagam-fashionable-kurtis/p/u9jyk,₹333,183,79,60,38,80,440
113,https://images.meesho.com/images/products/143647181/7dccf_400.webp,https://www.meesho.com/chitrarekha-attractive-kurtis/p/2diuvh,₹550,30,10,8,6,9,63
114,https://images.meesho.com/images/products/140686501/ryul2_400.webp,https://www.meesho.com/aakarsha-petite-kurtis/p/2breed,₹507,37,16,11,7,15,86
115,https://images.meesho.com/images/products/144179833/rcape_400.webp,https://www.meesho.com/myra-ensemble-kurtis/p/2du9vd,₹285,18,8,6,4,6,42
116,https://images.meesho.com/images/products/31628026/hugnm_400.webp,https://www.meesho.com/chitrarekha-fabulous-kurtis/p/itwca,₹503,378,168,111,72,171,900
117,https://images.meesho.com/images/products/140769101/xra3g_400.webp,https://www.meesho.com/banita-sensational-kurtis/p/2bt64t,₹716,34,12,8,4,11,69
118,https://images.meesho.com/images/products/56746345/rtal1_400.webp,https://www.meesho.com/trendy-refined-kurtis/p/xs9rd,₹499,208,92,59,36,83,478
119,https://images.meesho.com/images/products/188096009/dvqeu_400.webp,https://www.meesho.com/chitrarekha-drishya-kurtis/p/33zjt5,₹278,5,2,2,2,3,14
120,https://images.meesho.com/images/products/172664044/9ybtl_400.webp,https://www.meesho.com/abhisarika-voguish-kurtis/p/2ussfg,₹445,1,1,1,0,1,4
21,https://images.meesho.com/images/products/132621645/yv7nk_400.webp,https://www.meesho.com/aishani-alluring-kurtis/p/26yjil,₹302,34,14,11,7,11,77
22,https://images.meesho.com/images/products/50690921/tqg3z_400.webp,https://www.meesho.com/charvi-superior-kurtis/p/u6hd5,₹359,53,23,17,8,16,117
23,https://images.meesho.com/images/products/24724573/40a76_400.webp,https://www.meesho.com/adrika-voguish-kurtis/p/epxlp,₹536,107,39,12,4,6,168
24,https://images.meesho.com/images/products/182013476/ykg18_400.webp,https://www.meesho.com/myra-pretty-kurtis/p/30d6hw,₹561,17,7,5,3,6,38
25,https://images.meesho.com/images/products/194217074/nykuo_400.webp,https://www.meesho.com/myra-fabulous-kurtis/p/37mquq,₹348,2,1,1,1,1,6
26,https://images.meesho.com/images/products/188367306/xuojk_400.webp,https://www.meesho.com/aishani-attractive-kurtis/p/345d56,₹250,8,4,3,1,2,18
27,https://images.meesho.com/images/products/130178699/epbzd_400.webp,https://www.meesho.com/aakarsha-refined-kurtis/p/25i6iz,₹287,8,3,3,2,4,20
