index,img_url,prod_url,price,5,4,3,2,1,SUM
11,https://images.meesho.com/images/products/116747083/63fo0_400.webp,https://www.meesho.com/alisha-refined-kurtis/p/1xiamj,₹293,4613,1864,1622,1104,2248,11451
12,https://images.meesho.com/images/products/70794568/fhoum_400.webp,https://www.meesho.com/abhisarika-attractive-kurtis/p/165dfs,₹465,4572,2037,1535,968,2379,11491
13,https://images.meesho.com/images/products/80710539/hntyn_400.webp,https://www.meesho.com/kashvi-drishya-kurtis/p/1c1wnf,₹308,13031,4742,3644,1860,2789,26066
14,https://images.meesho.com/images/products/175026460/myoew_400.webp,https://www.meesho.com/chitrarekha-refined-kurtis/p/2w7fa4,₹429,765,321,221,117,210,1634
15,https://images.meesho.com/images/products/42021264/aikrx_400.webp,https://www.meesho.com/abhisarika-voguish-kurtis/p/p0ntc,₹583,4130,1900,1243,712,1760,9745
16,https://images.meesho.com/images/products/144179833/rcape_400.webp,https://www.meesho.com/myra-ensemble-kurtis/p/2du9vd,₹285,547,262,186,99,164,1258
17,https://images.meesho.com/images/products/70099091/bb3nm_400.webp,https://www.meesho.com/jivika-graceful-kurtis/p/15qgsz,₹429,1473,729,510,346,695,3753
18,https://images.meesho.com/images/products/143647181/7dccf_400.webp,https://www.meesho.com/chitrarekha-attractive-kurtis/p/2diuvh,₹550,866,310,223,146,252,1797
19,https://images.meesho.com/images/products/108045389/ifww7_400.webp,https://www.meesho.com/aishani-attractive-kurtis/p/1sbsct,₹512,932,342,218,104,211,1807
110,https://images.meesho.com/images/products/140686501/ryul2_400.webp,https://www.meesho.com/aakarsha-petite-kurtis/p/2breed,₹507,1041,444,301,181,427,2394
111,https://images.meesho.com/images/products/130178699/epbzd_400.webp,https://www.meesho.com/aakarsha-refined-kurtis/p/25i6iz,₹287,228,102,102,48,121,601
112,https://images.meesho.com/images/products/24724573/40a76_400.webp,https://www.meesho.com/adrika-voguish-kurtis/p/epxlp,₹536,2820,1036,299,82,152,4389
113,https://images.meesho.com/images/products/194217074/nykuo_400.webp,https://www.meesho.com/myra-fabulous-kurtis/p/37mquq,₹348,106,41,24,15,23,209
114,https://images.meesho.com/images/products/171256350/dwktq_400.webp,https://www.meesho.com/aakarsha-ensemble-kurtis/p/2tym8u,₹288,61,39,31,14,21,166
115,https://images.meesho.com/images/products/183835713/sjhwv_400.webp,https://www.meesho.com/aagam-drishya-kurtis/p/31g8jl,₹302,570,296,177,73,109,1225
116,https://images.meesho.com/images/products/132621645/yv7nk_400.webp,https://www.meesho.com/aishani-alluring-kurtis/p/26yjil,₹302,917,381,310,168,283,2059
117,https://images.meesho.com/images/products/50690921/tqg3z_400.webp,https://www.meesho.com/charvi-superior-kurtis/p/u6hd5,₹359,1393,609,428,190,424,3044
118,https://images.meesho.com/images/products/188096009/dvqeu_400.webp,https://www.meesho.com/chitrarekha-drishya-kurtis/p/33zjt5,₹278,160,66,56,44,81,407
119,https://images.meesho.com/images/products/164054970/x4tk4_400.webp,https://www.meesho.com/aagam-fashionable-kurtis/p/2po9mi,₹307,155,78,55,27,60,375
120,https://images.meesho.com/images/products/60728385/0dgl5_400.webp,https://www.meesho.com/trendy-fashionable-kurtis/p/105mbl,₹567,2122,899,671,402,958,5052
21,https://images.meesho.com/images/products/112259612/iud6q_400.webp,https://www.meesho.com/chitrarekha-voguish-kurtis/p/1uu42k,₹450,373,129,84,49,102,737
22,https://images.meesho.com/images/products/140769098/6iqmj_400.webp,https://www.meesho.com/banita-sensational-kurtis/p/2bt64q,₹716,939,316,217,101,291,1864
